"Bloque","Orden","Tipo","Título","Texto","Archivo 1","Archivo 2","Archivo 3","Imagen","Link","Fecha","Hora"
"Bloque 1: Los datos pueden transformar HR","1","material","Base para el ejercicio","Acá está **la base que vamos a utilizar** durante todo el workshop. Descargala antes de la primera sesión así arrancamos todos desde el mismo lugar.","Nómina Panda | https://drive.google.com/file/d/1Y3zWC6LgODmkbRq0KFg2Rx4wwZ4GO-wd/view","","","","","",""
"Bloque 1: Los datos pueden transformar HR","2","contenido","Las 4 vistas de Power BI","Power BI tiene **4 vistas** 😎, y según en cuál estés vas a poder hacer cosas distintas.

- 🛠 **Transformar datos:** el editor donde preparás los datos para el posterior análisis.
- 🎨 **Vista Informe:** el lugar donde vamos a graficar nuestro informe.
- 🗃 **Vista de Datos:** nos permite ver la tabla, revisar formatos y crear columnas calculadas.
- 🧩 **Vista de Modelo:** acá relacionamos nuestras diferentes tablas.","","","","","","",""
"Bloque 1: Los datos pueden transformar HR","3","contenido","Obtener datos","Power BI trabaja con datos que están en **orígenes externos**. Recordá que *lo primero que tenés que hacer* es conectar tus datos.

Podés hacerlo desde el menú de Inicio con el botón de **Obtener datos**, o directamente desde Excel si vas a trabajar con ese origen.

Cuando conectes datos cargados manualmente en Excel, te recomendamos darles **formato de tabla** antes de importarlos.","","","","","","",""
"Bloque 1: Los datos pueden transformar HR","4","contenido","Transformar datos","Al importar una base de datos es importante pasar por **Transformar datos** y prepararlos antes de comenzar el análisis. Algunas transformaciones que hicimos:

- Chequear el tipo de datos (mucho muy importante 😂)
- Filtrar filas en blanco y elegir columnas
- Modificar formatos (mayúsculas, minúsculas, etc.)
- Combinar columnas
- Reemplazar y extraer valores
- Operaciones de fecha
- Operaciones matemáticas y de redondeo
- Crear columnas condicionales (generaciones, rangos de edad, etc.)

## Tres cosas para no marearte

- Si te aparece un paso llamado **""Filas Filtradas""** y no lo aplicaste intencionalmente, la recomendación es eliminarlo con la ""x"".
- Si te aparece el cartel de **""Insertar un paso""**, salvo que lo estés haciendo a propósito, cancelá y posicionate en el último paso del menú de pasos aplicados antes de volver a crearlo.
- Cuando termines de trabajar en esta vista, aplicá los cambios desde el menú de inicio clickeando en **Cerrar y aplicar**.","","","","","","",""
"Bloque 1: Los datos pueden transformar HR","5","material","Presentación","Te dejamos la presentación que compartimos en este bloque.","PoweRH · Bloque 1 (PDF) | https://drive.google.com/file/d/10PKtrIWRXgkc-MHKji9etu4gYKWEjB-g/view","","","","","",""
"Bloque 1: Los datos pueden transformar HR","6","tarea","Tarea","Termina la primera semana y es un excelente momento para practicar.

1. Creá un nuevo archivo de Power BI e **importá** una base (puede ser la del curso u otra que tengas).
2. Entrá a **Transformar datos** y creá al menos **5 pasos** de transformación. Acordate de chequear el tipo de datos de cada columna.
3. **Documentá** alguno de esos pasos haciendo click derecho sobre el nombre del paso y entrando a Propiedades, para cambiarle el nombre y explicar qué hace. Es una excelente forma de recordar después el proceso.","","","","","","",""
"Bloque 2: De la transformación de datos a la visualización","1","contenido","5 pasos para crear buenas visualizaciones","## 1️⃣ Elegir la visualización

- 🔲 Si sólo vas a mostrar un dato, la **tarjeta** es una excelente opción.
- 📊 Si necesitás comparar valores o establecer un ranking, usá gráficos de **barras o columnas**. Un consejo para elegir: barras para variables categóricas (texto), columnas para variables numéricas o de tiempo.
- 📈 Los **gráficos de líneas** suelen usarse para mostrar tendencia en el tiempo.
- 🎂 Los **gráficos de torta o anillos** usalos con cuidado y para 2 o 3 segmentos máximo.
- 🎛 Los **segmentadores** te permiten filtrar a los demás gráficos.
- 📄 Las **tablas y matrices** son buenas para datos que se necesiten recorrer uno a uno; lo ideal es usarlas con conjuntos de hasta 20 datos.

## 2️⃣ Seleccionar los campos

Este paso es muy simple, Power BI permite arrastrar y tirar. En general los gráficos muestran un valor (la columna que llevás a *valores*) y lo segmentan de alguna forma (la columna que va al eje, a detalles o a leyenda).

## 3️⃣ Elegir la operación

Acá definís la operación a realizar (suma, promedio, mediana…) desde el menú ▼. En ese mismo menú encontrás cómo mostrar el valor **como porcentaje del total**, y si estás en una variable de segmentación podés agruparla con la función **Nuevo grupo**.

## 4️⃣ Aplicar filtros

Los filtros son muy parecidos a los de Excel, pero acá los aplicás en tres niveles:

- 📊 A un único gráfico (*en este gráfico hablo de los líderes solamente*).
- 📄 A todos los gráficos de una página (*en esta página hablo de activos*).
- 📕 A todo el informe (*quiero que todo el informe sea de un área*).

## 5️⃣ Trabajar sobre el formato

👩‍🎨 El rodillo te permite cambiar casi todo lo que tiene que ver con el formato.

Si querés trabajar con plantillas como hicimos en el workshop, tené en cuenta que se agregan desde **fondo de página** en el rodillo (no tenés que tener ningún gráfico seleccionado al entrar) y acordate de poner la **transparencia en 0%**.","","","","","","",""
"Bloque 2: De la transformación de datos a la visualización","2","contenido","Poderes ocultos de las visualizaciones","🤿 Si tenés más de un campo en el eje del objeto visual van a aparecer las opciones de **Explorar en profundidad** o *drill down*. Te permiten cambiar el nivel de detalle (granularidad) con que segmentás esos valores. Podés recorrer los diferentes niveles con las flechas ↑ ↓ ⇊ que aparecen sobre el gráfico.

🐱‍💻 Por otro lado, recordá que los gráficos **se pueden filtrar entre sí**. Si querés modificar ese funcionamiento, entrá a Formato → **Editar interacciones**.","","","","","","",""
"Bloque 2: De la transformación de datos a la visualización","3","material","Plantilla para el desafío","Vamos a usar esta imagen para acompañar los ejercicios del primer desafío.

Las plantillas se agregan desde **fondo de página** en el rodillo. Acordate siempre de **ajustar** la imagen y poner la **transparencia en 0%**.","Plantilla del desafío | https://drive.google.com/file/d/10j0GH2so4pVNXhv3dP7kChOqYOwAJyw0/view","","","","","",""
"Bloque 2: De la transformación de datos a la visualización","4","material","Presentación","Te compartimos la presentación del segundo bloque.","PoweRH · Bloque 2 (PDF) | https://drive.google.com/file/d/1upsLaZ2aMpaH1z6Sq0Q8CqhXYolow67n/view","","","","","",""
